id_camera,nm_camera,nm_fabricante,id_tipo_camera
9362,Canon EOS Rebel SL2,CANON,87
9363,E-M1,OLYMPUS,91
9364,Canon EOS REBEL T3i,CANON,87
9365,SM-G960F,SAMSUNG,91
9366,X-Pro3,FUJIFILM,91
9367,ILCA-77M2,SONY,91
9368,E-M10MarkII     ,OLYMPUS,91
9369,Canon EOS M6 Mark II,CANON,87
9370,Canon EOS 6D Mark II,CANON,87
9371,ILCE-5100,SONY,90
9372,PENTAX K-3         ,RICOH,87
9374,VOG-L09,HUAWEI,91
9375,SM-A725F,SAMSUNG,91
9376,DC-ZS70,PANASONIC,91
9377,iPhone 8 Plus,APPLE,91
9378,SM-A315F,SAMSUNG,91
9379,X-T3,FUJIFILM,91
9380,DMC-LX5,PANASONIC,91
9381,X-T30,FUJIFILM,91
9382,D-LUX 5,LEICA,91
9383,E-M10MarkIV,OLYMPUS,91
9384,E-M5MarkIII,OLYMPUS,91
9385,NIKON Z 5,NIKON,90
9386,ILCE-9,SONY,90
9387,NIKON D60,NIKON,87
9388,PENTAX K-01,PENTAX,87
9389,X-T1,FUJIFILM,91
9390,365,HIPSTAMATIC,91
9391,iPhone SE,APPLE,91
9393,FinePix HS20EXR,FUJIFILM,91
9394,ILCE-7RM3A,SONY,90
9396,DSC-H55,SONY,91
9397,Canon EOS 20D,CANON,87
9398,E-PL6           ,OLYMPUS,91
